id,user_id,subject_id,day,period,start_time,end_time,room,department,semester
c248df6b-897e-4fbb-96ee-469cc2885577,a46113b2-b8bb-4498-9d23-89c29d559d00,9ea89559-deec-42ca-97d8-3ad11e3a3922,Monday,3,10:10:00,11:05:00,CR 5,,
1c050941-42b2-4d83-bf0e-3ee5f3f573d3,a46113b2-b8bb-4498-9d23-89c29d559d00,9ea89559-deec-42ca-97d8-3ad11e3a3922,Monday,4,11:05:00,12:00:00,CR 5,,
0b249e8c-ba21-4391-b500-4f17c3458962,a46113b2-b8bb-4498-9d23-89c29d559d00,de84e7fc-0656-4ba0-83a0-7a2c52fa3007,Monday,5,13:00:00,13:50:00,CR 5,,
bd471a7a-5a17-424f-978a-87ec95c8b920,a46113b2-b8bb-4498-9d23-89c29d559d00,de84e7fc-0656-4ba0-83a0-7a2c52fa3007,Monday,6,13:50:00,14:40:00,CR 5,,
682d2dca-a911-434f-b1cd-f5702ef31fd8,a46113b2-b8bb-4498-9d23-89c29d559d00,5b471020-4d34-4294-8441-c5d82df4daa2,Monday,7,14:55:00,15:45:00,CR 5,,
18469fc6-c029-48e6-825a-3a1537cbdc1a,a46113b2-b8bb-4498-9d23-89c29d559d00,0aa37113-c1d1-439b-aa29-2ee8e16c4de4,Tuesday,1,08:00:00,08:55:00,IoT Lab,,
34ff027e-36ea-474a-b9c2-7f161203cfde,a46113b2-b8bb-4498-9d23-89c29d559d00,0aa37113-c1d1-439b-aa29-2ee8e16c4de4,Tuesday,2,08:55:00,09:50:00,IoT Lab,,
1062e024-4e94-48ca-845b-fca8e9b8389c,a46113b2-b8bb-4498-9d23-89c29d559d00,c606ee72-6070-4686-96e4-3683a68a5df8,Tuesday,3,10:10:00,11:05:00,IoT LAB,,
f0ff8a6d-8ec3-4e31-ba7f-fdfcd63c34df,18d61081-d3de-4ace-9910-bd077d9211c9,12667c3e-ec9b-4d6e-81ff-4202d716d05a,Monday,1,08:00:00,08:55:00,CR 5,,
583b5e2e-0b19-4e30-84d8-b02055f21514,18d61081-d3de-4ace-9910-bd077d9211c9,12667c3e-ec9b-4d6e-81ff-4202d716d05a,Monday,2,08:55:00,09:50:00,CR 5,,
